timestamp,buyer,seller,symbol,currency,price,quantity
3400,,,TOMATOES,XIRECS,5009.0,2
7000,,,TOMATOES,XIRECS,5010.0,4
9600,,,TOMATOES,XIRECS,4999.0,5
9900,,,TOMATOES,XIRECS,5000.0,4
16400,,,TOMATOES,XIRECS,4996.0,2
17900,,,TOMATOES,XIRECS,5009.0,2
22200,,,TOMATOES,XIRECS,5005.0,3
23500,,,TOMATOES,XIRECS,4989.0,3
24600,,,TOMATOES,XIRECS,5002.0,5
26100,,,TOMATOES,XIRECS,4988.0,2
34700,,,TOMATOES,XIRECS,4998.0,4
36400,,,TOMATOES,XIRECS,4986.0,2
36700,,,TOMATOES,XIRECS,4985.0,2
39400,,,TOMATOES,XIRECS,4978.0,2
43900,,,TOMATOES,XIRECS,4989.0,5
52800,,,TOMATOES,XIRECS,4994.0,4
53100,,,TOMATOES,XIRECS,4995.0,2
53600,,,TOMATOES,XIRECS,4996.0,2
54400,,,TOMATOES,XIRECS,4983.0,3
59700,,,TOMATOES,XIRECS,4993.0,5
64100,,,TOMATOES,XIRECS,4984.0,4
66100,,,TOMATOES,XIRECS,4990.0,3
70600,,,TOMATOES,XIRECS,4993.0,2
71200,,,TOMATOES,XIRECS,4993.0,2
73500,,,TOMATOES,XIRECS,4982.0,3
74200,,,TOMATOES,XIRECS,4996.0,3
75200,,,TOMATOES,XIRECS,4982.0,4
78300,,,TOMATOES,XIRECS,4997.0,5
79100,,,TOMATOES,XIRECS,4984.0,5
80300,,,TOMATOES,XIRECS,4985.0,3
80900,,,TOMATOES,XIRECS,4984.0,2
81000,,,TOMATOES,XIRECS,4984.0,4
81400,,,TOMATOES,XIRECS,4984.0,5
84500,,,TOMATOES,XIRECS,4979.0,3
85500,,,TOMATOES,XIRECS,4977.0,2
86000,,,TOMATOES,XIRECS,4991.0,5
94000,,,TOMATOES,XIRECS,4978.0,3
97200,,,TOMATOES,XIRECS,4978.0,4
97500,,,TOMATOES,XIRECS,4978.0,3
110200,,,TOMATOES,XIRECS,4986.0,5
111900,,,TOMATOES,XIRECS,4986.0,3
112000,,,TOMATOES,XIRECS,4999.0,4
113000,,,TOMATOES,XIRECS,4999.0,4
116300,,,TOMATOES,XIRECS,5001.0,2
120900,,,TOMATOES,XIRECS,4990.0,3
124800,,,TOMATOES,XIRECS,4989.0,2
128700,,,TOMATOES,XIRECS,4988.0,3
129000,,,TOMATOES,XIRECS,5001.0,2
130500,,,TOMATOES,XIRECS,4985.0,3
130900,,,TOMATOES,XIRECS,4985.0,2
131900,,,TOMATOES,XIRECS,4999.0,4
132100,,,TOMATOES,XIRECS,4986.0,4
133400,,,TOMATOES,XIRECS,5001.0,4
136200,,,TOMATOES,XIRECS,4987.0,4
137600,,,TOMATOES,XIRECS,5001.0,5
141700,,,TOMATOES,XIRECS,4997.0,5
144200,,,TOMATOES,XIRECS,4986.0,2
151500,,,TOMATOES,XIRECS,4984.0,2
153400,,,TOMATOES,XIRECS,4996.0,4
156700,,,TOMATOES,XIRECS,4997.0,3
157600,,,TOMATOES,XIRECS,4996.0,3
158900,,,TOMATOES,XIRECS,4976.0,2
159200,,,TOMATOES,XIRECS,4978.0,3
161000,,,TOMATOES,XIRECS,4977.0,3
161800,,,TOMATOES,XIRECS,4976.0,2
162400,,,TOMATOES,XIRECS,4976.0,3
162900,,,TOMATOES,XIRECS,4975.0,5
167300,,,TOMATOES,XIRECS,4982.0,2
168200,,,TOMATOES,XIRECS,4995.0,4
170800,,,TOMATOES,XIRECS,4982.0,3
176000,,,TOMATOES,XIRECS,4998.0,4
176300,,,TOMATOES,XIRECS,4984.0,3
176900,,,TOMATOES,XIRECS,4985.0,2
180300,,,TOMATOES,XIRECS,4981.0,3
